timestep,level,platform_speed_range,success_rate,blind_fraction,longest_blind_run,steps_before_first_detection,pos_err_m,vel_err_ms
25000,1,0.0,50.0,0.6147,121.8,0.0,0.01176,0.19766
50000,1,0.0,10.0,0.7311,191.3,0.0,0.01204,0.20688
75000,1,0.0,20.0,0.6433,165.1,0.0,0.01188,0.20804
100000,1,0.0,0.0,0.7029,146.6,0.0,0.01336,0.20424
125000,1,0.0,0.0,0.7265,181.6,0.0,0.01575,0.22914
150000,1,0.0,10.0,0.7892,214.5,0.0,0.01101,0.20765
175000,1,0.0,20.0,0.7441,211.9,0.0,0.01203,0.21005
200000,1,0.0,0.0,0.8134,234.5,0.0,0.01211,0.20275
225000,1,0.0,50.0,0.6463,150.1,0.0,0.01156,0.21312
250000,1,0.0,40.0,0.7345,179.5,0.0,0.01139,0.21008
275000,1,0.0,60.0,0.7107,146.4,0.0,0.01285,0.21326
300000,1,0.0,30.0,0.7452,185.5,0.0,0.01162,0.22767
325000,1,0.0,20.0,0.7318,188.6,0.0,0.01147,0.21527
350000,1,0.0,10.0,0.8258,243.0,0.0,0.0113,0.19988
375000,1,0.0,20.0,0.7876,213.2,0.0,0.01226,0.22207
400000,1,0.0,60.0,0.6461,125.9,0.0,0.01202,0.21292
425000,1,0.0,20.0,0.7488,204.4,0.0,0.01186,0.22555
450000,1,0.0,30.0,0.7355,193.4,0.0,0.0118,0.21788
475000,1,0.0,40.0,0.7187,177.5,0.0,0.01131,0.23343
500000,1,0.0,80.0,0.6149,103.8,0.0,0.01159,0.22504
525000,1,0.0,0.0,0.8728,255.0,0.0,0.01213,0.21202
550000,1,0.0,50.0,0.8107,179.1,0.0,0.01189,0.21083
575000,3,0.0,80.0,0.5465,85.8,0.0,0.01078,0.22208
600000,4,0.0,80.0,0.6005,101.3,0.0,0.01171,0.22476
