timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason
5000,1,0.11,0.14,0.0,0,20,0.0,,-82.951994,0,20,0,0,0,0
10000,1,0.11,0.14,0.0,0,20,0.0,,-8.966227,20,7,13,0,0,0
15000,1,0.11,0.14,0.0,4,20,20.0,8.5679,-1.617434,16,16,0,0,0,0
20000,1,0.11,0.14,0.0,4,20,20.0,9.1826,-1.637459,16,16,0,0,0,0
25000,1,0.11,0.14,0.0,6,20,30.0,6.6617,-1.513533,14,6,8,0,0,0
30000,1,0.11,0.14,0.0,9,20,45.0,7.572,4.936881,11,11,0,0,0,0
35000,1,0.11,0.14,0.0,9,20,45.0,7.2898,5.072824,11,11,0,0,0,0
40000,1,0.11,0.14,0.0,4,20,20.0,6.9069,-1.480138,16,16,0,0,0,0
45000,1,0.11,0.14,0.0,3,20,15.0,5.8075,-4.303973,17,11,6,0,0,0
50000,1,0.11,0.14,0.0,7,20,35.0,7.1545,1.222181,13,10,3,0,0,0
55000,1,0.11,0.14,0.0,6,20,30.0,8.1972,-2.374641,14,10,4,0,0,0
60000,1,0.11,0.14,0.0,1,20,5.0,1.8189,-9.923141,19,9,10,0,0,0
65000,1,0.11,0.14,0.0,2,20,10.0,4.8632,-8.742217,17,10,8,0,0,0
70000,1,0.11,0.14,0.0,0,20,0.0,,-10.755516,20,9,11,0,0,0
75000,1,0.11,0.14,0.0,5,20,25.0,8.2481,-4.176773,14,7,8,0,0,0
80000,1,0.11,0.14,0.0,6,20,30.0,6.608,-4.12952,13,8,6,0,0,0
85000,1,0.11,0.14,0.0,1,20,5.0,8.4473,-7.402599,18,12,7,0,0,0
90000,1,0.11,0.14,0.0,1,20,5.0,10.0731,-8.062947,19,6,13,0,0,0
95000,1,0.11,0.14,0.0,0,20,0.0,,-11.395,20,6,14,0,0,0
100000,1,0.11,0.14,0.0,0,20,0.0,,-9.712738,20,9,11,0,0,0
105000,1,0.11,0.14,0.0,0,20,0.0,,-9.201424,20,12,8,0,0,0
110000,1,0.11,0.14,0.0,3,20,15.0,7.8409,-3.557149,17,16,1,0,0,0
115000,1,0.11,0.14,0.0,0,20,0.0,,-12.790388,11,13,7,0,0,0
120000,1,0.11,0.14,0.0,0,20,0.0,,-10.759956,20,8,11,1,0,0
125000,1,0.11,0.14,0.0,0,20,0.0,,-10.654922,9,16,4,0,0,0
130000,1,0.11,0.14,0.0,0,20,0.0,,-11.925916,7,14,6,0,0,0
135000,1,0.11,0.14,0.0,0,20,0.0,,-15.080041,9,13,7,0,0,0
140000,1,0.11,0.14,0.0,1,20,5.0,6.0191,-10.753307,6,14,5,0,0,0
145000,1,0.11,0.14,0.0,0,20,0.0,,-16.066916,6,15,5,0,0,0
150000,1,0.11,0.14,0.0,4,20,20.0,5.421,-3.19633,15,13,3,0,0,0
155000,1,0.11,0.14,0.0,1,20,5.0,9.5767,-8.969727,14,12,7,0,0,0
160000,1,0.11,0.14,0.0,12,20,60.0,7.7593,7.315801,7,8,0,0,0,0
165000,1,0.11,0.14,0.0,6,20,30.0,8.0428,0.886091,14,14,0,0,0,0
170000,1,0.11,0.14,0.0,5,20,25.0,9.0242,-0.995879,15,15,0,0,0,0
175000,1,0.11,0.14,0.0,8,20,40.0,9.1084,2.434097,12,12,0,0,0,0
180000,1,0.11,0.14,0.0,11,20,55.0,7.4763,6.243277,9,9,0,0,0,0
185000,1,0.11,0.14,0.0,6,20,30.0,8.2688,0.187257,14,14,0,0,0,0
190000,1,0.11,0.14,0.0,3,20,15.0,9.7632,-6.114416,14,16,1,0,0,0
195000,1,0.11,0.14,0.0,1,20,5.0,10.0741,-7.390964,16,19,0,0,0,0
200000,1,0.11,0.14,0.0,3,20,15.0,9.3933,-4.288361,17,14,3,0,0,0
205000,1,0.11,0.14,0.0,1,20,5.0,9.0488,-7.880468,18,11,8,0,0,0
210000,1,0.11,0.14,0.0,0,20,0.0,,-8.134852,20,14,6,0,0,0
215000,1,0.11,0.14,0.0,2,20,10.0,8.7014,-5.000086,18,15,3,0,0,0
220000,1,0.11,0.14,0.0,3,20,15.0,8.822,-2.971771,17,16,1,0,0,0
225000,1,0.11,0.14,0.0,13,20,65.0,6.0394,9.708601,7,7,0,0,0,0
230000,1,0.11,0.14,0.0,3,20,15.0,7.2113,-4.357628,17,9,8,0,0,0
235000,1,0.11,0.14,0.0,6,20,30.0,6.3728,0.414838,14,12,2,0,0,0
240000,1,0.11,0.14,0.0,7,20,35.0,5.4944,0.716605,13,8,5,0,0,0
245000,1,0.11,0.14,0.0,5,20,25.0,6.2828,-1.619605,15,11,4,0,0,0
250000,1,0.11,0.14,0.0,8,20,40.0,6.0612,2.368301,12,8,4,0,0,0
255000,1,0.11,0.14,0.0,4,20,20.0,7.0326,-2.322155,16,14,2,0,0,0
260000,1,0.11,0.14,0.0,8,20,40.0,8.8896,-0.076503,11,11,1,0,0,0
265000,1,0.11,0.14,0.0,7,20,35.0,7.2068,2.353216,13,13,0,0,0,0
270000,1,0.11,0.14,0.0,9,20,45.0,6.1742,4.882294,11,11,0,0,0,0
275000,1,0.11,0.14,0.0,10,20,50.0,4.5134,6.406052,10,10,0,0,0,0
280000,1,0.11,0.14,0.0,11,20,55.0,8.2874,5.330374,9,9,0,0,0,0
285000,1,0.11,0.14,0.0,4,20,20.0,6.0408,-3.247924,16,14,2,0,0,0
290000,1,0.11,0.14,0.0,8,20,40.0,7.6889,2.69545,12,11,1,0,0,0
295000,1,0.11,0.14,0.0,2,20,10.0,4.9114,-6.754355,18,11,7,0,0,0
300000,1,0.11,0.14,0.0,5,20,25.0,7.6179,-1.128405,15,12,3,0,0,0
305000,1,0.11,0.14,0.0,7,20,35.0,8.5955,0.415936,11,11,2,0,0,0
310000,1,0.11,0.14,0.0,6,20,30.0,8.3586,0.286914,14,13,1,0,0,0
315000,1,0.11,0.14,0.0,1,20,5.0,10.06,-7.046619,17,17,2,0,0,0
320000,1,0.11,0.14,0.0,4,20,20.0,8.2409,-2.531605,16,16,0,0,0,0
325000,1,0.11,0.14,0.0,2,20,10.0,9.9131,-6.103862,16,14,3,1,0,0
330000,1,0.11,0.14,0.0,2,20,10.0,9.5298,-5.967994,16,16,2,0,0,0
335000,1,0.11,0.14,0.0,2,20,10.0,8.9762,-5.82787,18,16,2,0,0,0
340000,1,0.11,0.14,0.0,7,20,35.0,7.2441,1.575065,13,13,0,0,0,0
345000,1,0.11,0.14,0.0,5,20,25.0,7.7281,-0.789929,15,15,0,0,0,0
350000,1,0.11,0.14,0.0,2,20,10.0,9.8352,-5.085194,18,15,3,0,0,0
355000,1,0.11,0.14,0.0,3,20,15.0,8.9409,-3.009357,17,17,0,0,0,0
360000,1,0.11,0.14,0.0,2,20,10.0,9.6077,-4.836632,18,16,2,0,0,0
365000,1,0.11,0.14,0.0,8,20,40.0,8.8606,3.141826,12,12,0,0,0,0
370000,1,0.11,0.14,0.0,4,20,20.0,7.5175,-2.435009,16,13,3,0,0,0
375000,1,0.11,0.14,0.0,4,20,20.0,9.2206,-2.577715,16,12,4,0,0,0
380000,1,0.11,0.14,0.0,8,20,40.0,7.6808,3.405797,12,12,0,0,0,0
385000,1,0.11,0.14,0.0,5,20,25.0,8.4628,-0.828027,15,13,2,0,0,0
390000,1,0.11,0.14,0.0,6,20,30.0,6.4988,0.952565,14,13,1,0,0,0
395000,1,0.11,0.14,0.0,13,20,65.0,8.1342,9.4965,6,7,0,0,0,0
400000,1,0.11,0.14,0.0,8,20,40.0,9.3019,3.246006,12,12,0,0,0,0
405000,1,0.11,0.14,0.0,11,20,55.0,7.6666,7.49838,8,9,0,0,0,0
410000,1,0.11,0.14,0.0,7,20,35.0,6.5423,1.816428,13,11,2,0,0,0
415000,1,0.11,0.14,0.0,4,20,20.0,9.7287,-2.122976,16,15,1,0,0,0
420000,1,0.11,0.14,0.0,2,20,10.0,9.9994,-5.327336,18,15,3,0,0,0
425000,1,0.11,0.14,0.0,4,20,20.0,9.0923,-1.677891,15,16,0,0,0,0
430000,1,0.11,0.14,0.0,3,20,15.0,7.5547,-3.292435,17,15,2,0,0,0
435000,1,0.11,0.14,0.0,2,20,10.0,8.7838,-6.783677,17,16,2,0,0,0
440000,1,0.11,0.14,0.0,3,20,15.0,9.7352,-3.955843,16,14,3,0,0,0
445000,1,0.11,0.14,0.0,2,20,10.0,9.2764,-4.963764,18,17,1,0,0,0
450000,1,0.11,0.14,0.0,5,20,25.0,7.8572,-5.059749,14,13,2,0,0,0
455000,1,0.11,0.14,0.0,4,20,20.0,8.5648,-2.291496,16,15,1,0,0,0
460000,1,0.11,0.14,0.0,8,20,40.0,7.9462,2.556012,12,12,0,0,0,0
465000,1,0.11,0.14,0.0,4,20,20.0,9.6569,-3.426346,16,15,1,0,0,0
470000,1,0.11,0.14,0.0,15,20,75.0,7.2688,12.392231,5,5,0,0,0,0
475000,1,0.11,0.14,0.0,6,20,30.0,6.899,-1.420159,12,12,2,0,0,0
480000,1,0.11,0.14,0.0,4,20,20.0,6.8053,-2.219353,16,16,0,0,0,0
485000,1,0.11,0.14,0.0,13,20,65.0,7.9918,9.972827,7,7,0,0,0,0
490000,1,0.11,0.14,0.0,12,20,60.0,8.5966,7.320008,8,4,4,0,0,0
495000,1,0.11,0.14,0.0,11,20,55.0,6.8608,6.972763,9,8,1,0,0,0
500000,1,0.11,0.14,0.0,13,20,65.0,8.8715,9.296948,7,6,1,0,0,0
505000,1,0.11,0.14,0.0,11,20,55.0,8.5341,6.4222,9,8,1,0,0,0
510000,1,0.11,0.14,0.0,7,20,35.0,8.1383,1.183149,13,11,2,0,0,0
515000,1,0.11,0.14,0.0,7,20,35.0,9.2056,1.146949,13,13,0,0,0,0
520000,1,0.11,0.14,0.0,5,20,25.0,9.8183,-3.050436,15,9,6,0,0,0
525000,1,0.11,0.14,0.0,6,20,30.0,9.9188,-4.342536,13,14,0,0,0,0
530000,1,0.11,0.14,0.0,14,20,70.0,7.5537,6.207065,5,5,1,0,0,0
535000,1,0.11,0.14,0.0,11,20,55.0,8.7944,4.259055,9,8,1,0,0,0
540000,1,0.11,0.14,0.0,15,20,75.0,8.428,11.439142,5,5,0,0,0,0
545000,1,0.11,0.14,0.0,17,20,85.0,6.6327,14.147911,3,2,1,0,0,0
550000,1,0.11,0.14,0.0,10,20,50.0,8.8656,1.98811,9,7,3,0,0,0
555000,1,0.11,0.14,0.0,18,20,90.0,6.6116,15.970856,1,2,0,0,0,0
560000,2,0.11,0.16,0.0,15,20,75.0,8.0722,11.50619,5,3,2,0,0,0
565000,2,0.11,0.16,0.0,17,20,85.0,7.7711,14.78626,3,3,0,0,0,0
570000,2,0.11,0.16,0.0,19,20,95.0,5.1916,17.602669,1,0,1,0,0,0
575000,3,0.11,0.18,0.0,16,20,80.0,5.761,13.581461,4,4,0,0,0,0
580000,3,0.11,0.18,0.0,18,20,90.0,5.8951,16.667691,2,2,0,0,0,0
585000,4,0.11,0.2,0.0,14,20,70.0,5.9356,10.806932,6,5,1,0,0,0
590000,4,0.11,0.2,0.0,2,20,10.0,9.0087,-6.373229,18,12,6,0,0,0
595000,4,0.11,0.2,0.0,10,20,50.0,6.3811,5.996021,10,10,0,0,0,0
600000,4,0.11,0.2,0.0,11,20,55.0,7.8212,6.780818,9,7,1,1,0,0
