timestep,level,platform_speed_range,success_rate,blind_fraction,longest_blind_run,steps_before_first_detection,pos_err_m,vel_err_ms
1225000,9,0.1,30.0,0.7661,180.5,0.0,0.01154,0.19904
1250000,9,0.1,30.0,0.605,141.6,0.0,0.01133,0.20104
1275000,9,0.1,20.0,0.7977,195.6,0.0,0.0107,0.16849
1300000,9,0.1,20.0,0.7465,167.0,0.0,0.01131,0.18538
1325000,9,0.1,50.0,0.7479,165.9,0.0,0.01194,0.20588
1350000,9,0.1,40.0,0.6288,132.1,0.0,0.01166,0.18516
1375000,9,0.1,30.0,0.6749,164.0,0.0,0.0116,0.19042
1400000,9,0.1,30.0,0.6674,164.6,0.0,0.0114,0.18434
1425000,9,0.1,30.0,0.6884,167.7,0.0,0.01121,0.17614
1450000,9,0.1,30.0,0.6585,140.2,0.0,0.01195,0.18848
1475000,9,0.1,0.0,0.6752,138.1,0.0,0.01335,0.2196
1500000,9,0.1,20.0,0.7151,174.2,0.0,0.01162,0.17305
1525000,9,0.1,40.0,0.5646,138.7,0.0,0.0113,0.19609
1550000,9,0.1,0.0,0.7293,186.3,0.0,0.01092,0.16791
1575000,9,0.1,20.0,0.6987,177.8,0.0,0.01065,0.17008
1600000,9,0.1,20.0,0.6812,179.3,0.0,0.01111,0.19117
1625000,9,0.1,0.0,0.7236,203.0,0.0,0.0112,0.19689
1650000,9,0.1,20.0,0.7501,182.3,0.0,0.0111,0.18362
1675000,9,0.1,40.0,0.6625,154.5,0.0,0.01113,0.19158
1700000,9,0.1,40.0,0.6252,149.4,0.0,0.01119,0.18885
1725000,9,0.1,30.0,0.5916,148.9,0.0,0.01087,0.18452
1750000,9,0.1,30.0,0.6476,147.4,0.0,0.01179,0.19244
1775000,9,0.1,40.0,0.6191,132.1,0.0,0.0124,0.19934
1800000,9,0.1,10.0,0.3654,89.8,0.0,0.01188,0.1796
