timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason
1205000,9,0.11,0.3,0.1,6,20,30.0,5.9138,-0.047671,14,11,3,0,0,0
1210000,9,0.11,0.3,0.1,8,20,40.0,6.2184,1.622401,12,9,3,0,0,0
1215000,9,0.11,0.3,0.1,7,20,35.0,5.8667,0.222452,13,8,5,0,0,0
1220000,9,0.11,0.3,0.1,7,20,35.0,6.4444,0.44007,13,8,5,0,0,0
1225000,9,0.11,0.3,0.1,9,20,45.0,6.5918,3.528802,11,7,4,0,0,0
1230000,9,0.11,0.3,0.1,7,20,35.0,6.9913,1.640194,13,11,2,0,0,0
1235000,9,0.11,0.3,0.1,7,20,35.0,6.0834,1.434482,13,10,3,0,0,0
1240000,9,0.11,0.3,0.1,8,20,40.0,7.3266,3.179222,12,10,2,0,0,0
1245000,9,0.11,0.3,0.1,9,20,45.0,6.9459,3.932944,11,8,3,0,0,0
1250000,9,0.11,0.3,0.1,5,20,25.0,4.7893,-1.794488,15,10,5,0,0,0
1255000,9,0.11,0.3,0.1,8,20,40.0,7.1915,1.948138,12,5,7,0,0,0
1260000,9,0.11,0.3,0.1,7,20,35.0,6.4938,1.005037,13,10,3,0,0,0
1265000,9,0.11,0.3,0.1,12,20,60.0,7.1832,8.168258,8,7,1,0,0,0
1270000,9,0.11,0.3,0.1,9,20,45.0,6.495,2.827439,11,8,3,0,0,0
1275000,9,0.11,0.3,0.1,10,20,50.0,7.2435,4.864129,10,7,3,0,0,0
1280000,9,0.11,0.3,0.1,9,20,45.0,5.836,4.585949,11,9,2,0,0,0
1285000,9,0.11,0.3,0.1,9,20,45.0,7.3522,4.155537,11,10,1,0,0,0
1290000,9,0.11,0.3,0.1,6,20,30.0,7.0827,0.043428,14,11,3,0,0,0
1295000,9,0.11,0.3,0.1,9,20,45.0,6.7346,4.584072,11,10,1,0,0,0
1300000,9,0.11,0.3,0.1,9,20,45.0,7.121,4.459311,10,10,1,0,0,0
1305000,9,0.11,0.3,0.1,6,20,30.0,7.3486,0.153204,14,11,3,0,0,0
1310000,9,0.11,0.3,0.1,9,20,45.0,6.3209,3.378602,11,6,5,0,0,0
1315000,9,0.11,0.3,0.1,9,20,45.0,6.6007,4.183776,11,7,4,0,0,0
1320000,9,0.11,0.3,0.1,8,20,40.0,7.3245,2.426485,12,6,6,0,0,0
1325000,9,0.11,0.3,0.1,10,20,50.0,7.9178,5.95373,10,9,1,0,0,0
1330000,9,0.11,0.3,0.1,11,20,55.0,7.4627,6.442228,9,5,4,0,0,0
1335000,9,0.11,0.3,0.1,11,20,55.0,7.3315,6.722305,9,6,3,0,0,0
