timestep,level,platform_speed_range,success_rate,blind_fraction,longest_blind_run,steps_before_first_detection,pos_err_m,vel_err_ms
25000,1,0.0,0.0,0.8017,153.4,0.0,0.0105,0.19462
50000,1,0.0,50.0,0.7401,169.4,0.0,0.01083,0.17534
75000,1,0.0,20.0,0.7638,194.6,0.0,0.01103,0.18139
100000,1,0.0,10.0,0.6683,122.3,0.0,0.0129,0.26533
125000,1,0.0,20.0,0.7433,182.9,0.0,0.01267,0.24335
150000,1,0.0,0.0,0.7461,84.5,0.0,0.01392,0.20105
175000,1,0.0,30.0,0.7473,188.9,0.0,0.01118,0.18773
200000,1,0.0,50.0,0.6537,151.0,0.0,0.01171,0.18692
225000,1,0.0,0.0,0.7637,181.0,0.0,0.01158,0.18419
250000,1,0.0,40.0,0.5925,151.2,0.0,0.01145,0.20181
275000,1,0.0,60.0,0.5743,114.4,0.0,0.01065,0.19022
300000,1,0.0,70.0,0.6005,108.1,0.0,0.01124,0.20712
325000,1,0.0,40.0,0.6492,158.1,0.0,0.01116,0.18786
350000,1,0.0,30.0,0.7188,185.3,0.0,0.01125,0.21069
375000,1,0.0,0.0,0.7453,101.5,0.0,0.01335,0.20823
400000,1,0.0,90.0,0.5176,69.8,0.0,0.01038,0.18343
425000,1,0.0,30.0,0.7553,176.8,0.0,0.0112,0.16538
450000,1,0.0,80.0,0.5658,119.7,0.0,0.01018,0.1978
475000,2,0.0,0.0,0.7119,185.3,0.0,0.0109,0.20508
500000,2,0.0,60.0,0.5546,102.5,0.0,0.01101,0.18818
525000,2,0.0,70.0,0.6256,119.4,0.0,0.01066,0.18783
550000,5,0.0,80.0,0.5649,110.5,0.0,0.00973,0.18109
575000,7,0.0,10.0,0.7261,135.3,0.0,0.01193,0.21175
600000,7,0.0,40.0,0.7623,147.2,0.0,0.01317,0.18934
