timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason
5000,1,0.11,0.14,0.0,0,20,0.0,,-67.650771,0,20,0,0,0,0
10000,1,0.11,0.14,0.0,0,20,0.0,,-50.670525,17,3,17,0,0,0
15000,1,0.11,0.14,0.0,0,20,0.0,,-8.746983,0,20,0,0,0,0
20000,1,0.11,0.14,0.0,0,20,0.0,,-8.1401,0,20,0,0,0,0
25000,1,0.11,0.14,0.0,0,20,0.0,,-8.057372,0,20,0,0,0,0
30000,1,0.11,0.14,0.0,0,20,0.0,,-11.440614,8,13,7,0,0,0
35000,1,0.11,0.14,0.0,0,20,0.0,,-15.560848,0,20,0,0,0,0
40000,1,0.11,0.14,0.0,5,20,25.0,5.8349,-1.444932,14,12,3,0,0,0
45000,1,0.11,0.14,0.0,3,20,15.0,7.972,-4.31702,17,9,8,0,0,0
50000,1,0.11,0.14,0.0,6,20,30.0,6.2811,-0.47178,14,12,2,0,0,0
55000,1,0.11,0.14,0.0,6,20,30.0,6.1632,-0.059195,13,13,0,1,0,0
60000,1,0.11,0.14,0.0,1,20,5.0,8.5855,-10.71208,19,6,13,0,0,0
65000,1,0.11,0.14,0.0,4,20,20.0,5.9636,-5.214059,15,14,2,0,0,0
70000,1,0.11,0.14,0.0,5,20,25.0,9.2744,-2.832786,15,15,0,0,0,0
75000,1,0.11,0.14,0.0,4,20,20.0,6.7324,-4.418758,15,11,4,1,0,0
80000,1,0.11,0.14,0.0,0,20,0.0,,-16.98454,20,0,20,0,0,0
85000,1,0.11,0.14,0.0,0,20,0.0,,-11.818713,20,0,20,0,0,0
90000,1,0.11,0.14,0.0,8,20,40.0,6.6402,3.501666,12,12,0,0,0,0
95000,1,0.11,0.14,0.0,5,20,25.0,7.3324,-4.024489,15,9,6,0,0,0
100000,1,0.11,0.14,0.0,4,20,20.0,5.9308,-3.325267,16,11,5,0,0,0
105000,1,0.11,0.14,0.0,2,20,10.0,7.1057,-5.565942,18,12,6,0,0,0
