timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason,blind_fraction,v4_pos_err_m,v4_vel_err_ms,cv_pos_err_m,cv_vel_err_ms
5000,1,0.11,0.14,0.0,0,20,0.0,,-7.395446,0,20,0,0,0,0,0.1435,0.2138,0.06084,0.01463,0.24875
10000,1,0.11,0.14,0.0,0,20,0.0,,-7.219944,0,20,0,0,0,0,0.0012,0.13544,0.05346,0.02084,0.30018
15000,1,0.11,0.14,0.0,0,20,0.0,,-7.290601,0,20,0,0,0,0,0.1279,0.17527,0.03764,0.01462,0.25043
20000,1,0.11,0.14,0.0,0,20,0.0,,-7.789514,0,20,0,0,0,0,0.2146,0.1615,0.02578,0.0159,0.25759
25000,1,0.11,0.14,0.0,0,20,0.0,,-8.510808,0,20,0,0,0,0,0.0409,0.16239,0.03302,0.01979,0.30519
30000,1,0.11,0.14,0.0,0,20,0.0,,-7.145119,0,20,0,0,0,0,0.0088,0.08919,0.0169,0.01477,0.25164
35000,1,0.11,0.14,0.0,0,20,0.0,,-6.69262,0,20,0,0,0,0,0.0736,0.11234,0.01171,0.01243,0.22777
40000,1,0.11,0.14,0.0,0,20,0.0,,-7.753183,0,20,0,0,0,0,0.037,0.10845,0.01552,0.01666,0.26771
45000,1,0.11,0.14,0.0,0,20,0.0,,-6.475544,0,20,0,0,0,0,0.0264,0.12621,0.01517,0.01262,0.23044
50000,1,0.11,0.14,0.0,0,20,0.0,,-6.891272,0,20,0,0,0,0,0.0807,0.08797,0.01213,0.01359,0.22665
55000,1,0.11,0.14,0.0,0,20,0.0,,-7.71392,0,20,0,0,0,0,0.2547,0.08383,0.01238,0.01483,0.22878
60000,1,0.11,0.14,0.0,0,20,0.0,,-6.694736,0,20,0,0,0,0,0.0168,0.04911,0.00935,0.01375,0.23659
65000,1,0.11,0.14,0.0,0,20,0.0,,-6.66131,0,20,0,0,0,0,0.002,0.02646,0.00658,0.0162,0.2618
70000,1,0.11,0.14,0.0,0,20,0.0,,-7.082699,0,20,0,0,0,0,0.0002,0.0474,0.00642,0.0202,0.2922
75000,1,0.11,0.14,0.0,0,20,0.0,,-7.027834,0,20,0,0,0,0,0.0,0.02996,0.00473,0.01815,0.27425
80000,1,0.11,0.14,0.0,0,20,0.0,,-6.666756,0,20,0,0,0,0,0.1005,0.08873,0.00777,0.01119,0.21704
