timestep,level,spawn_radius_min,spawn_radius_max,platform_speed_range,successes,episodes,success_rate,mean_success_distance_cm,mean_return,near_miss,timeout,below_platform,tilt_bound,position_bound,terminated_no_reason
5000,1,0.11,0.14,0.0,0,20,0.0,,-82.951994,0,20,0,0,0,0
10000,1,0.11,0.14,0.0,0,20,0.0,,-8.966227,20,7,13,0,0,0
15000,1,0.11,0.14,0.0,4,20,20.0,8.5679,-1.617434,16,16,0,0,0,0
20000,1,0.11,0.14,0.0,4,20,20.0,9.1826,-1.637459,16,16,0,0,0,0
25000,1,0.11,0.14,0.0,6,20,30.0,6.6617,-1.513533,14,6,8,0,0,0
30000,1,0.11,0.14,0.0,9,20,45.0,7.572,4.936881,11,11,0,0,0,0
35000,1,0.11,0.14,0.0,9,20,45.0,7.2898,5.072824,11,11,0,0,0,0
40000,1,0.11,0.14,0.0,4,20,20.0,6.9069,-1.480138,16,16,0,0,0,0
45000,1,0.11,0.14,0.0,3,20,15.0,5.8075,-4.303973,17,11,6,0,0,0
50000,1,0.11,0.14,0.0,7,20,35.0,7.1545,1.222181,13,10,3,0,0,0
55000,1,0.11,0.14,0.0,6,20,30.0,8.1972,-2.374641,14,10,4,0,0,0
60000,1,0.11,0.14,0.0,1,20,5.0,1.8189,-9.923141,19,9,10,0,0,0
