timesteps,successes,episodes,success_rate,mean_success_distance_cm,mean_return
5000,0,20,0.0,,-13.232295
10000,0,20,0.0,,-14.133611
15000,0,20,0.0,,-12.822904
20000,0,20,0.0,,-7.233047
25000,0,20,0.0,,-8.196619
30000,0,20,0.0,,-9.120262
35000,0,20,0.0,,-9.595611
40000,0,20,0.0,,-7.386326
45000,0,20,0.0,,-8.068182
50000,0,20,0.0,,-8.932895
55000,0,20,0.0,,-6.73079
60000,0,20,0.0,,-7.760441
65000,0,20,0.0,,-11.387628
70000,0,20,0.0,,-10.324352
75000,0,20,0.0,,-6.937112
80000,0,20,0.0,,-8.2874
85000,0,20,0.0,,-6.479885
90000,5,20,25.0,7.077,-0.176449
95000,0,20,0.0,,-10.181719
100000,0,20,0.0,,-9.867602
105000,16,20,80.0,8.1488,13.394747
110000,8,20,40.0,8.0189,3.506582
115000,18,20,90.0,6.5801,16.060883
120000,0,20,0.0,,-15.538331
125000,8,20,40.0,5.6883,3.096942
130000,20,20,100.0,8.5504,18.353006
135000,6,20,30.0,7.4582,1.162312
140000,5,20,25.0,9.0173,-0.040344
145000,7,20,35.0,6.3134,2.3358
150000,20,20,100.0,4.9043,17.860676
155000,10,20,50.0,6.1822,3.568921
160000,3,20,15.0,9.9236,-12.012537
165000,5,20,25.0,9.8328,-4.799747
170000,8,20,40.0,7.0841,-0.199681
175000,9,20,45.0,5.4361,4.130764
180000,18,20,90.0,9.1067,14.172401
185000,20,20,100.0,7.4975,18.762361
190000,20,20,100.0,5.7996,19.567918
195000,20,20,100.0,3.8669,19.627607
200000,20,20,100.0,2.9603,18.814331
205000,20,20,100.0,2.7683,18.902863
210000,20,20,100.0,4.3528,17.695417
215000,20,20,100.0,2.8408,18.512657
220000,20,20,100.0,3.184,19.029681
225000,20,20,100.0,2.1665,18.50558
230000,20,20,100.0,2.3934,18.504359
235000,20,20,100.0,2.2485,19.122828
240000,20,20,100.0,3.6115,18.913557
245000,20,20,100.0,2.653,19.332346
250000,20,20,100.0,2.215,18.936808
255000,20,20,100.0,2.5718,19.499181
260000,20,20,100.0,2.6955,19.358746
265000,20,20,100.0,2.3314,19.826633
270000,20,20,100.0,2.935,19.7688
275000,20,20,100.0,2.2781,19.799643
280000,20,20,100.0,2.4796,19.445082
285000,20,20,100.0,2.2154,19.317604
290000,20,20,100.0,2.5506,19.451355
295000,20,20,100.0,2.5284,20.000289
300000,20,20,100.0,2.9777,19.479216
