episode,steps,success,truncation_reason,blind_fraction_time,detect_fraction_time,terminal_dropout_height_m,plat_speed
0,83,True,,0.6265,0.3614,0.3319,0.1644
1,78,True,,0.4744,0.5,0.2447,0.1808
2,82,True,,0.5122,0.4756,0.2572,0.1106
3,76,True,,0.4474,0.5395,0.1909,0.172
4,76,True,,0.3816,0.6184,0.2007,0.1303
5,84,True,,0.5119,0.4762,0.2693,0.2508
6,84,True,,0.4167,0.5714,0.2121,0.1304
7,84,True,,0.4643,0.4643,0.2429,0.2495
8,300,False,timeout,0.8467,0.1533,0.3603,0.295
9,78,True,,0.2949,0.6923,0.1547,0.0417
10,88,True,,0.6705,0.2955,0.2877,0.1841
11,76,True,,0.5132,0.4737,0.2594,0.1872
12,81,True,,0.321,0.6667,0.1662,0.1276
13,78,True,,0.3718,0.6282,0.19,0.1258
14,81,True,,0.3827,0.6049,0.1945,0.1126
15,77,True,,0.3506,0.6364,0.1873,0.2004
16,76,True,,0.3421,0.6053,0.1804,0.0898
17,75,True,,0.44,0.52,0.2147,0.1123
18,95,True,,0.5474,0.4316,0.3091,0.1913
19,80,True,,0.45,0.5375,0.2329,0.1376
20,79,True,,0.7975,0.1899,0.3326,0.1523
21,300,False,timeout,0.85,0.1467,0.2486,0.3232
22,300,False,timeout,0.8967,0.1,0.2851,0.2404
23,82,True,,0.6098,0.3659,0.306,0.231
24,76,True,,0.4079,0.5921,0.217,0.1807
25,101,True,,0.6139,0.3762,0.3043,0.2858
26,86,True,,0.5233,0.4651,0.2764,0.269
27,76,True,,0.3816,0.6053,0.1976,0.0964
28,85,True,,0.6706,0.3059,0.3585,0.1644
29,79,True,,0.3418,0.6203,0.1555,0.0408
30,74,True,,0.473,0.5,0.2438,0.2613
31,75,True,,0.3867,0.6133,0.197,0.087
32,81,True,,0.4691,0.5062,0.2381,0.1998
33,113,True,,0.7434,0.2478,0.3433,0.233
34,76,True,,0.3684,0.5789,0.1743,0.0896
35,82,True,,0.3902,0.5732,0.1933,0.1123
36,92,True,,0.5761,0.4239,0.2972,0.2024
37,92,True,,0.5,0.4891,0.282,0.2306
38,96,True,,0.6667,0.3229,0.3275,0.2499
39,74,True,,0.4054,0.5946,0.2125,0.1799
40,80,True,,0.55,0.375,0.2631,0.2604
41,76,True,,0.6053,0.3289,0.254,0.2519
42,87,True,,0.4598,0.5287,0.2322,0.2421
43,82,True,,0.4512,0.4756,0.2118,0.2417
44,79,True,,0.6076,0.3418,0.2853,0.2135
45,82,True,,0.5244,0.4512,0.2412,0.134
46,81,True,,0.358,0.6296,0.1874,0.0363
47,76,True,,0.3684,0.5921,0.1928,0.1495
48,77,True,,0.3636,0.6364,0.1943,0.2311
49,75,True,,0.4533,0.52,0.2214,0.1905
