height_above_pad,horizontal_offset,detected,px_per_cell,corners_in_frame,fully_in_frame,centre_in_frame,loss_cause,pnp_err_m,file
0.5,0.0,True,5.46,4,True,True,,0.013723822368207503,h0.500_off0.00.png
0.5,0.11,True,5.46,4,True,True,,0.011943354416487098,h0.500_off0.11.png
0.5,0.3,True,5.46,4,True,True,,0.03279687533108252,h0.500_off0.30.png
0.4,0.0,True,6.87,4,True,True,,0.01291924239684763,h0.400_off0.00.png
0.4,0.11,True,6.87,4,True,True,,0.026015460705575588,h0.400_off0.11.png
0.4,0.3,False,6.87,2,False,True,too_close,nan,h0.400_off0.30.png
0.3,0.0,True,9.26,4,True,True,,0.008721931544818654,h0.300_off0.00.png
0.3,0.11,True,9.26,4,True,True,,0.009177915108575343,h0.300_off0.11.png
0.3,0.3,False,9.26,2,False,False,lateral,nan,h0.300_off0.30.png
0.2,0.0,True,14.18,4,True,True,,0.002411872884728277,h0.200_off0.00.png
0.2,0.11,False,14.18,2,False,True,too_close,nan,h0.200_off0.11.png
0.2,0.3,False,14.18,2,False,False,lateral,nan,h0.200_off0.30.png
0.15,0.0,True,19.31,4,True,True,,0.0025919328610233727,h0.150_off0.00.png
0.15,0.11,False,19.31,2,False,True,too_close,nan,h0.150_off0.11.png
0.15,0.3,False,19.31,0,False,False,lateral,nan,h0.150_off0.30.png
0.125,0.0,False,23.58,0,False,True,too_close,nan,h0.125_off0.00.png
0.125,0.11,False,23.58,0,False,True,too_close,nan,h0.125_off0.11.png
0.125,0.3,False,23.58,0,False,False,lateral,nan,h0.125_off0.30.png
0.1,0.0,False,30.27,0,False,True,too_close,nan,h0.100_off0.00.png
0.1,0.11,False,30.27,0,False,False,lateral,nan,h0.100_off0.11.png
0.1,0.3,False,30.27,0,False,False,lateral,nan,h0.100_off0.30.png
0.05,0.0,False,69.99,0,False,True,too_close,nan,h0.050_off0.00.png
0.05,0.11,False,69.99,0,False,False,lateral,nan,h0.050_off0.11.png
0.05,0.3,False,69.99,0,False,False,lateral,nan,h0.050_off0.30.png
