marker_size,fov_deg,offset_m,never_visible_in_task,h_drop_measured_m,h_drop_closed_form_m,delta_m,blind_fraction_of_descent
0.15,60.0,0.0,False,0.1418,0.1418,0.0,0.284
0.15,60.0,0.11,False,0.3323,0.3323,-0.0,0.665
0.15,60.0,0.3,True,,0.6614,,1.0
0.15,90.0,0.0,False,0.0869,0.0869,-0.0,0.174
0.15,90.0,0.11,False,0.1969,0.1969,0.0,0.394
0.15,90.0,0.3,False,0.3869,0.3869,-0.0,0.774
0.15,120.0,0.0,False,0.0552,0.0552,-0.0,0.11
0.15,120.0,0.11,False,0.1187,0.1187,0.0,0.237
0.15,120.0,0.3,False,0.2284,0.2284,-0.0,0.457
0.2,60.0,0.0,False,0.1851,0.1851,0.0,0.37
0.2,60.0,0.11,False,0.3756,0.3756,-0.0,0.751
0.2,60.0,0.3,True,,0.7047,,1.0
0.2,90.0,0.0,False,0.1119,0.1119,0.0,0.224
0.2,90.0,0.11,False,0.2219,0.2219,0.0,0.444
0.2,90.0,0.3,False,0.4119,0.4119,0.0,0.824
0.2,120.0,0.0,False,0.0696,0.0696,-0.0,0.139
0.2,120.0,0.11,False,0.1331,0.1331,0.0,0.266
0.2,120.0,0.3,False,0.2428,0.2428,-0.0,0.486
0.25,60.0,0.0,False,0.2284,0.2284,-0.0,0.457
0.25,60.0,0.11,False,0.4189,0.4189,0.0,0.838
0.25,60.0,0.3,True,,0.748,,1.0
0.25,90.0,0.0,False,0.1369,0.1369,-0.0,0.274
0.25,90.0,0.11,False,0.2469,0.2469,-0.0,0.494
0.25,90.0,0.3,False,0.4369,0.4369,-0.0,0.874
0.25,120.0,0.0,False,0.0841,0.0841,-0.0,0.168
0.25,120.0,0.11,False,0.1476,0.1476,0.0,0.295
0.25,120.0,0.3,False,0.2573,0.2573,-0.0,0.515
0.3,60.0,0.0,False,0.2717,0.2717,-0.0,0.543
0.3,60.0,0.11,False,0.4622,0.4622,0.0,0.924
0.3,60.0,0.3,True,,0.7913,,1.0
0.3,90.0,0.0,False,0.1619,0.1619,-0.0,0.324
0.3,90.0,0.11,False,0.2719,0.2719,0.0,0.544
0.3,90.0,0.3,False,0.4619,0.4619,-0.0,0.924
0.3,120.0,0.0,False,0.0985,0.0985,-0.0,0.197
0.3,120.0,0.11,False,0.162,0.162,0.0,0.324
0.3,120.0,0.3,False,0.2717,0.2717,-0.0,0.543
0.4,60.0,0.0,False,0.3583,0.3583,0.0,0.717
0.4,60.0,0.11,False,0.5488,0.5488,-0.0,1.098
0.4,60.0,0.3,True,,0.8779,,1.0
0.4,90.0,0.0,False,0.2119,0.2119,-0.0,0.424
0.4,90.0,0.11,False,0.3219,0.3219,-0.0,0.644
0.4,90.0,0.3,False,0.5119,0.5119,-0.0,1.024
0.4,120.0,0.0,False,0.1274,0.1274,0.0,0.255
0.4,120.0,0.11,False,0.1909,0.1909,-0.0,0.382
0.4,120.0,0.3,False,0.3006,0.3006,-0.0,0.601
