episode,step,height_above_pad,horizontal_error,cam_u,cam_v,corners_in_frame,fully_in_frame,centre_in_frame,px_per_cell,loss_cause,aruco_detected,aruco_pos_err
0,1,0.49902,0.22381,-0.4814,0.0323,4,True,True,5.6,,True,0.029226469661601535
0,2,0.49622,0.22912,-0.5594,0.0357,4,True,True,5.93,,True,0.012283222147735806
0,3,0.49108,0.23393,-0.6391,0.0392,4,True,True,6.4,,True,0.023062518787625486
0,4,0.48456,0.2377,-0.6725,0.0413,4,True,True,6.58,,False,nan
0,5,0.47788,0.24016,-0.6508,0.0449,4,True,True,6.47,,True,0.01996638132995067
0,6,0.47195,0.24141,-0.6347,0.0334,4,True,True,6.53,,True,0.013778465267482002
0,7,0.46635,0.24171,-0.6668,0.0192,4,True,True,6.77,,False,nan
0,8,0.46008,0.24105,-0.6921,0.0386,2,False,True,6.85,tilt,False,nan
0,9,0.45338,0.23927,-0.6662,0.04,3,False,True,7.0,tilt,False,nan
0,10,0.44694,0.23648,-0.5906,0.0209,4,True,True,6.57,,True,0.013324277546713283
0,11,0.44146,0.2332,-0.525,0.0421,4,True,True,6.15,,True,0.009399612315990827
0,12,0.43698,0.23001,-0.5059,0.0815,4,True,True,6.19,,True,0.015711267510457698
0,13,0.43209,0.22705,-0.5313,0.0842,4,True,True,6.54,,True,0.013407083017310627
0,14,0.42612,0.22418,-0.5578,0.032,4,True,True,6.79,,True,0.03295520645418512
0,15,0.41977,0.22122,-0.5427,-0.0172,4,True,True,6.79,,True,0.01588569286466334
0,16,0.41381,0.21826,-0.5362,-0.0101,4,True,True,6.93,,True,0.010103904596158791
0,17,0.40789,0.21538,-0.5519,-0.0064,4,True,True,7.18,,True,0.012332608751495167
0,18,0.40179,0.21248,-0.541,-0.0308,4,True,True,7.05,,True,0.008491420327018741
0,19,0.39614,0.20963,-0.5344,-0.0224,4,True,True,6.94,,True,0.011451670703813678
0,20,0.39066,0.20689,-0.5559,0.0062,4,True,True,7.13,,True,0.009560922247487055
0,21,0.38472,0.20413,-0.5597,-0.0006,4,True,True,7.4,,True,0.012806153784217157
0,22,0.37879,0.20132,-0.517,-0.0212,4,True,True,7.17,,True,0.010920354924646705
0,23,0.37379,0.19876,-0.482,0.002,4,True,True,7.25,,True,0.014779108962517948
0,24,0.36935,0.19679,-0.4934,0.0443,4,True,True,7.37,,True,0.012472080280649542
0,25,0.36398,0.19529,-0.5382,0.0515,4,True,True,7.6,,True,0.008749777659353905
0,26,0.35756,0.19396,-0.5732,0.017,4,True,True,8.0,,True,0.010481743804942788
0,27,0.35084,0.19261,-0.565,-0.0005,4,True,True,8.14,,True,0.04061551326632033
0,28,0.34471,0.19129,-0.5663,0.0435,4,True,True,8.2,,True,0.010818966021315104
0,29,0.33871,0.19005,-0.6193,0.0845,2,False,True,8.66,tilt,False,nan
0,30,0.33203,0.18858,-0.6738,0.0671,2,False,True,9.32,tilt,False,nan
0,31,0.32525,0.18653,-0.6796,0.0568,2,False,True,9.6,too_close,False,nan
0,32,0.31908,0.18384,-0.629,0.0865,2,False,True,9.16,too_close,False,nan
0,33,0.31352,0.18082,-0.5844,0.0894,4,True,True,8.84,,False,nan
0,34,0.30825,0.17785,-0.5921,0.0724,2,False,True,9.06,too_close,False,nan
0,35,0.30252,0.17497,-0.598,0.0918,2,False,True,9.49,too_close,False,nan
0,36,0.29673,0.17213,-0.5524,0.1252,4,True,True,9.18,,True,0.00639306729203791
0,37,0.2915,0.1696,-0.512,0.128,4,True,True,9.05,,True,0.0064378076308392864
0,38,0.28664,0.16771,-0.5246,0.1238,4,True,True,9.21,,True,0.005918654480829649
