episode,steps,success,truncation_reason,blind_fraction_time,detect_fraction_time,terminal_dropout_height_m,plat_speed
0,87,True,,0.6552,0.3103,0.2812,0.1644
1,77,True,,0.3896,0.5714,0.2161,0.1808
2,75,True,,0.3733,0.5733,0.1658,0.1106
3,78,True,,0.5,0.4872,0.2215,0.172
4,75,True,,0.3467,0.6133,0.1835,0.1303
5,78,True,,0.3077,0.641,0.1813,0.2508
6,73,True,,0.3288,0.6164,0.1686,0.1304
7,72,True,,0.4306,0.5556,0.2345,0.2495
8,124,True,,0.7742,0.2258,0.34,0.295
9,75,True,,0.2933,0.7067,0.1562,0.0417
10,79,True,,0.8228,0.1266,0.3541,0.1841
11,75,True,,0.4,0.56,0.2152,0.1872
12,77,True,,0.3506,0.6494,0.1898,0.1276
13,76,True,,0.3553,0.6316,0.1998,0.1258
14,74,True,,0.3108,0.6757,0.1693,0.1126
15,71,True,,0.4366,0.5352,0.2352,0.2004
16,76,True,,0.3553,0.6316,0.1859,0.0898
17,76,True,,0.4211,0.5395,0.168,0.1123
18,81,True,,0.5185,0.4321,0.2956,0.1913
19,74,True,,0.2838,0.7027,0.1609,0.1376
20,72,True,,0.9444,0.0556,0.393,0.1523
21,77,True,,0.3896,0.5714,0.1992,0.3232
22,76,True,,0.4737,0.4737,0.247,0.2404
23,77,True,,0.4416,0.4545,0.2249,0.231
24,76,True,,0.4737,0.4868,0.2122,0.1807
25,103,True,,0.6699,0.3301,0.3306,0.2858
26,73,True,,0.4521,0.4658,0.2473,0.269
27,76,True,,0.3158,0.6711,0.1711,0.0964
28,81,True,,0.716,0.2222,0.3389,0.1644
29,74,True,,0.3108,0.6757,0.1619,0.0408
30,74,True,,0.3919,0.5676,0.1476,0.2613
31,76,True,,0.2763,0.7237,0.152,0.087
32,77,True,,0.4805,0.4935,0.2577,0.1998
33,300,False,timeout,0.8733,0.1267,0.2813,0.233
34,75,True,,0.3467,0.6267,0.1764,0.0896
35,72,True,,0.3611,0.625,0.1979,0.1123
36,105,True,,0.6762,0.3238,0.259,0.2024
37,98,True,,0.5,0.4796,0.2357,0.2306
38,122,True,,0.6803,0.2869,0.3068,0.2499
39,76,True,,0.4211,0.5789,0.2176,0.1799
40,77,True,,0.4805,0.5065,0.2566,0.2604
41,79,True,,0.481,0.5063,0.2499,0.2519
42,74,True,,0.4459,0.5405,0.245,0.2421
43,71,True,,0.4507,0.5211,0.2314,0.2417
44,72,True,,0.7778,0.2083,0.349,0.2135
45,72,True,,0.4028,0.5833,0.2132,0.134
46,73,True,,0.3151,0.6438,0.144,0.0363
47,77,True,,0.3896,0.5974,0.1774,0.1495
48,74,True,,0.3919,0.6081,0.2139,0.2311
49,74,True,,0.3784,0.5811,0.188,0.1905
