condition,episode,seed,success,near_miss,truncation_reason,final_d_target_cm,steps,blind_fraction,steps_before_first_detection,ever_detected,longest_blind_run,mean_blind_run,pos_err_mean_m,vel_err_mean_ms,blind_runs
privileged,0,9000,True,False,,5.5756,75,0.5333,0,True,40,40.0,0.01399,0.22869,40
privileged,1,9001,True,False,,5.0795,78,0.4359,0,True,33,17.0,0.01484,0.25881,1;33
privileged,2,9002,True,False,,4.5952,77,0.3117,0,True,22,12.0,0.00939,0.18179,2;22
privileged,3,9003,True,False,,6.3934,82,0.4756,0,True,37,19.5,0.01269,0.14621,2;37
privileged,4,9004,True,False,,5.627,81,0.4321,0,True,35,35.0,0.01176,0.20667,35
privileged,5,9005,True,False,,7.4758,76,0.3684,0,True,28,28.0,0.01499,0.17567,28
privileged,6,9006,True,False,,7.2665,75,0.3733,0,True,25,14.0,0.01248,0.22585,3;25
privileged,7,9007,True,False,,4.8504,74,0.3108,0,True,23,23.0,0.00985,0.15859,23
privileged,8,9008,True,False,,4.4875,78,0.2821,0,True,22,22.0,0.01122,0.19516,22
privileged,9,9009,True,False,,6.9567,76,0.5,0,True,32,19.0,0.01208,0.19379,6;32
privileged,10,9010,True,False,,6.062,74,0.3784,0,True,28,28.0,0.014,0.13144,28
privileged,11,9011,True,False,,5.7034,80,0.475,0,True,31,19.0,0.01539,0.20148,7;31
privileged,12,9012,True,False,,5.6652,76,0.4605,0,True,35,35.0,0.01455,0.23962,35
privileged,13,9013,True,False,,5.8365,75,0.3733,0,True,28,28.0,0.01275,0.14321,28
privileged,14,9014,True,False,,8.3278,75,0.4533,0,True,34,34.0,0.01185,0.25975,34
privileged,15,9015,True,False,,4.6757,77,0.2727,0,True,21,21.0,0.01025,0.2473,21
privileged,16,9016,True,False,,6.4745,84,0.7143,0,True,49,30.0,0.01287,0.19901,11;49
privileged,17,9017,True,False,,5.1624,76,0.3026,0,True,23,23.0,0.00893,0.18837,23
privileged,18,9018,False,False,timeout,95.9713,301,0.9701,0,True,285,97.333,0.01487,0.37422,6;1;285
privileged,19,9019,True,False,,5.8738,75,0.48,0,True,36,36.0,0.01096,0.14593,36
privileged,20,9020,True,False,,5.763,76,0.3158,0,True,23,12.0,0.01278,0.20529,1;23
privileged,21,9021,True,False,,8.6238,146,0.7603,0,True,104,55.5,0.01391,0.25034,7;104
privileged,22,9022,True,False,,6.0687,76,0.3421,0,True,26,26.0,0.00849,0.21918,26
privileged,23,9023,True,False,,9.051,87,0.4138,0,True,36,36.0,0.01263,0.20862,36
privileged,24,9024,True,False,,5.7077,73,0.5068,0,True,28,12.333,0.00908,0.19404,8;1;28
privileged,25,9025,True,False,,3.9101,76,0.6447,0,True,30,9.8,0.01245,0.3653,12;1;3;3;30
privileged,26,9026,True,False,,4.3128,76,0.4474,0,True,31,17.0,0.01519,0.18003,3;31
privileged,27,9027,True,False,,6.6164,74,0.2973,0,True,22,22.0,0.01136,0.17642,22
privileged,28,9028,True,False,,5.4166,76,0.3553,0,True,27,27.0,0.01002,0.22146,27
privileged,29,9029,True,False,,5.0641,74,0.3514,0,True,26,26.0,0.00972,0.1735,26
privileged,30,9030,True,False,,5.9664,74,0.3243,0,True,23,12.0,0.01055,0.18963,1;23
privileged,31,9031,True,False,,8.5652,136,0.8382,0,True,111,38.0,0.0177,0.156,2;1;111
privileged,32,9032,True,False,,4.3781,78,0.4872,0,True,37,19.0,0.01091,0.15127,1;37
privileged,33,9033,True,False,,5.1194,76,0.3026,0,True,23,23.0,0.01134,0.1516,23
privileged,34,9034,True,False,,5.8555,73,0.3014,0,True,22,22.0,0.01088,0.18548,22
privileged,35,9035,True,False,,5.8631,80,0.525,0,True,33,21.0,0.01288,0.16749,9;33
privileged,36,9036,True,False,,4.4283,75,0.3867,0,True,22,7.25,0.01117,0.19991,3;2;2;22
privileged,37,9037,True,False,,4.3632,77,0.4805,0,True,24,9.25,0.01037,0.21634,10;1;2;24
privileged,38,9038,True,False,,9.5126,83,0.3855,0,True,32,32.0,0.01777,0.20993,32
privileged,39,9039,True,False,,4.7342,81,0.3827,0,True,25,7.75,0.01512,0.13562,3;1;2;25
privileged,40,9040,True,False,,7.922,83,0.3735,0,True,31,31.0,0.01582,0.26422,31
privileged,41,9041,True,False,,2.8725,78,0.2949,0,True,23,23.0,0.01039,0.17871,23
privileged,42,9042,True,False,,4.4117,74,0.3378,0,True,25,25.0,0.01213,0.1743,25
privileged,43,9043,True,False,,4.3703,78,0.3718,0,True,28,14.5,0.01394,0.25861,1;28
privileged,44,9044,True,False,,4.6282,74,0.3649,0,True,25,13.5,0.0121,0.16346,2;25
privileged,45,9045,True,False,,6.2845,88,0.6705,0,True,58,29.5,0.01481,0.13896,1;58
privileged,46,9046,True,False,,4.5712,73,0.3014,0,True,22,22.0,0.01193,0.15782,22
privileged,47,9047,True,False,,8.6893,84,0.4524,0,True,37,19.0,0.01653,0.23868,1;37
privileged,48,9048,True,False,,5.3378,77,0.4286,0,True,33,33.0,0.01568,0.30053,33
privileged,49,9049,True,False,,4.733,76,0.3026,0,True,23,23.0,0.00963,0.21733,23
hold,0,9000,False,True,timeout,10.6156,301,0.8571,0,True,254,86.0,0.01208,0.13746,3;1;254
hold,1,9001,False,True,timeout,463.665,301,0.8339,0,True,251,251.0,0.01163,0.2004,251
hold,2,9002,False,True,below_platform,48.7374,98,0.4184,0,True,41,41.0,0.00933,0.16492,41
hold,3,9003,False,True,below_platform,74.6685,125,0.544,0,True,60,17.0,0.01256,0.20971,2;4;2;60
hold,4,9004,False,True,timeout,21.8325,301,0.8505,0,True,256,256.0,0.01265,0.19239,256
hold,5,9005,False,True,below_platform,84.7378,109,0.6239,0,True,61,34.0,0.01602,0.25514,7;61
hold,6,9006,False,True,below_platform,51.599,90,0.5222,0,True,47,47.0,0.01272,0.15373,47
hold,7,9007,False,True,timeout,10.6261,301,0.8505,0,True,256,256.0,0.00941,0.10771,256
hold,8,9008,False,True,below_platform,55.129,123,0.6016,0,True,69,37.0,0.01247,0.15707,5;69
hold,9,9009,False,True,timeout,22.1207,301,0.8771,0,True,250,88.0,0.01127,0.1467,7;7;250
hold,10,9010,False,False,timeout,344.4386,301,0.8804,0,True,257,88.333,0.01422,0.12925,1;7;257
hold,11,9011,False,True,below_platform,52.1584,140,0.6429,0,True,58,22.5,0.01454,0.19041,13;8;11;58
hold,12,9012,False,True,below_platform,62.5237,185,0.7568,0,True,129,46.667,0.01253,0.19354,4;7;129
hold,13,9013,False,True,timeout,15.2095,301,0.804,0,True,242,242.0,0.0135,0.19699,242
hold,14,9014,False,True,below_platform,49.6957,115,0.6348,0,True,68,36.5,0.01017,0.16216,5;68
hold,15,9015,True,False,,5.0667,80,0.375,0,True,29,15.0,0.00998,0.18078,1;29
hold,16,9016,False,True,timeout,24.0737,301,0.9136,0,True,265,68.75,0.01391,0.17054,7;2;1;265
hold,17,9017,False,True,below_platform,98.6234,160,0.6438,0,True,103,103.0,0.01059,0.18762,103
hold,18,9018,False,False,timeout,401.0799,301,0.9402,0,True,278,94.333,0.01423,0.19147,4;1;278
hold,19,9019,False,True,below_platform,120.5855,234,0.7479,0,True,175,175.0,0.01084,0.18866,175
hold,20,9020,True,False,,9.3863,84,0.4643,0,True,29,13.0,0.01301,0.18698,4;6;29
hold,21,9021,False,True,timeout,22.0704,301,0.897,0,True,256,67.5,0.01341,0.21275,3;8;3;256
hold,22,9022,False,True,below_platform,34.0788,103,0.4951,0,True,51,51.0,0.01007,0.21079,51
hold,23,9023,False,True,below_platform,84.2083,126,0.627,0,True,76,39.5,0.012,0.15377,3;76
hold,24,9024,False,True,below_platform,108.2081,223,0.8072,0,True,150,36.0,0.01155,0.1716,6;7;5;12;150
hold,25,9025,False,True,timeout,19.9437,301,0.8239,0,True,229,62.0,0.01218,0.2615,8;3;8;229
hold,26,9026,False,True,below_platform,218.7735,209,0.7273,0,True,150,76.0,0.01317,0.17411,2;150
hold,27,9027,False,True,below_platform,58.3149,101,0.5446,0,True,55,55.0,0.01213,0.13973,55
hold,28,9028,False,False,timeout,351.7389,301,0.8272,0,True,247,124.5,0.01021,0.20688,2;247
hold,29,9029,False,True,timeout,13.028,301,0.8173,0,True,246,246.0,0.00935,0.18394,246
hold,30,9030,False,True,below_platform,41.4046,119,0.6303,0,True,67,25.0,0.01207,0.1681,1;7;67
hold,31,9031,False,True,below_platform,58.9048,89,0.7079,0,True,62,31.5,0.01746,0.13177,1;62
hold,32,9032,False,True,below_platform,35.5387,109,0.5688,0,True,59,20.667,0.01115,0.18017,1;2;59
hold,33,9033,False,False,timeout,421.6712,301,0.8505,0,True,252,128.0,0.01238,0.13469,4;252
hold,34,9034,False,False,timeout,409.6802,301,0.8671,0,True,251,87.0,0.01143,0.1792,2;8;251
hold,35,9035,False,True,below_platform,40.7685,68,0.9706,0,True,66,66.0,0.02915,0.90857,66
hold,36,9036,False,False,timeout,355.0381,301,0.8472,0,True,240,63.75,0.01055,0.17825,2;6;7;240
hold,37,9037,False,True,timeout,24.8838,301,0.9701,0,True,270,97.333,0.01322,0.24708,9;13;270
hold,38,9038,False,True,below_platform,38.1235,149,0.6913,0,True,94,34.333,0.01754,0.20382,1;8;94
hold,39,9039,False,True,below_platform,57.7346,102,0.598,0,True,59,30.5,0.01744,0.15381,2;59
hold,40,9040,False,True,below_platform,49.3166,93,0.4731,0,True,37,11.0,0.01321,0.12524,2;3;2;37
hold,41,9041,False,True,timeout,23.6758,301,0.814,0,True,245,245.0,0.01003,0.15798,245
hold,42,9042,False,False,timeout,399.6684,301,0.8571,0,True,257,129.0,0.01231,0.12619,1;257
hold,43,9043,False,True,below_platform,50.72,127,0.6693,0,True,80,42.5,0.01265,0.15004,5;80
hold,44,9044,False,True,below_platform,78.2992,140,0.7214,0,True,94,50.5,0.01256,0.16452,7;94
hold,45,9045,False,True,below_platform,56.45,101,0.7525,0,True,75,38.0,0.01594,0.1566,1;75
hold,46,9046,False,True,below_platform,230.5233,276,0.8297,0,True,229,229.0,0.01146,0.12339,229
hold,47,9047,True,False,,6.6596,80,0.425,0,True,28,11.333,0.01234,0.1467,4;2;28
hold,48,9048,False,True,below_platform,39.4536,100,0.46,0,True,43,15.333,0.01406,0.17266,1;2;43
